Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
V Kohli (INDIA),6,6,3,558,160*,186,561,99.46,3,1,0,54,6,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
V Kohli (INDIA),5,5,2,453,157*,151,401,112.96,3,0,0,52,7,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,1,441,171*,110.25,434,101.61,2,1,0,35,14,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
SPD Smith (AUS),7,6,1,397,105,79.4,430,92.32,1,4,0,36,4,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,2,389,162,129.66,327,118.96,2,1,0,43,16,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
DA Warner (AUS),5,5,0,386,173,77.2,340,113.52,2,1,0,50,4,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
V Kohli (INDIA),5,5,0,381,117,76.2,384,99.21,2,2,0,32,4,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
DA Warner (AUS),5,5,0,367,179,73.4,325,112.92,2,0,0,37,7,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
V Kohli (INDIA),5,5,2,358,154*,119.33,355,100.84,1,2,0,30,4,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,0,342,127,68.4,335,102.08,2,0,0,44,6,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,0,338,125,67.6,332,101.8,1,2,0,44,4,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
AM Rahane (INDIA),5,5,0,336,103,67.2,436,77.06,1,3,0,34,3,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
V Kohli (INDIA),5,5,2,330,131,110,295,111.86,2,1,0,37,3,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
DA Warner (AUS),7,7,1,323,178,53.83,269,120.07,1,0,0,35,9,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
S Dhawan (INDIA),6,6,1,323,109,64.6,310,104.19,1,2,0,47,2,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,2,317,111*,105.66,339,93.51,1,2,0,25,13,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
RG Sharma (INDIA),6,6,1,315,137,63,334,94.31,1,2,0,31,9,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
SPD Smith (AUS),5,5,0,315,149,63,293,107.5,1,1,0,27,5,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,1,304,123*,76,350,86.85,1,2,1,29,7,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,1,302,124*,75.5,311,97.1,2,1,0,33,8,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
DA Warner (AUS),3,3,0,299,156,99.66,272,109.92,2,0,0,31,5,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,0,296,125,59.2,284,104.22,1,2,0,22,14,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
SE Marsh (AUS),5,5,0,288,131,57.6,280,102.85,2,0,0,19,8,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,0,287,126,57.4,286,100.34,1,2,0,32,5,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
AJ Finch (AUS),3,3,0,275,107,91.66,286,96.15,2,1,0,22,7,14-Jan-18,England
