Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
Kuldeep Yadav (INDIA),2,1,0,3,3,3,6,50,0,0,0,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
DS Kulkarni (INDIA),2,1,1,2,2*,-,2,100,0,0,0,0,0,21-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
UT Yadav (INDIA),2,1,0,2,2,2,11,18.18,0,0,0,0,0,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
GJ Maxwell (AUS),1,1,0,2,2,2,6,33.33,0,0,0,0,0,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
MS Wade (AUS),1,1,1,2,2*,-,2,100,0,0,0,0,0,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
JL Pattinson (AUS),2,1,1,2,2*,-,8,25,0,0,0,0,0,8-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
STR Binny (INDIA),1,1,0,2,2,2,5,40,0,0,0,0,0,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
JW Hastings (AUS),4,3,3,2,2*,-,3,66.66,0,0,0,0,0,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
B Kumar (INDIA),2,1,0,2,2,2,6,33.33,0,0,0,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
UT Yadav (INDIA),5,2,1,2,2,2,11,18.18,0,0,0,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
SM Boland (AUS),2,1,0,2,2,2,12,16.66,0,0,0,0,0,6-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
A Zampa (AUS),2,1,0,2,2,2,11,18.18,0,0,0,0,0,6-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
A Zampa (AUS),1,1,1,2,2*,-,2,100,0,0,0,0,0,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
MS Wade (AUS),3,1,0,2,2,2,3,66.66,0,0,0,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),5,1,1,2,2*,-,6,33.33,0,0,0,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
HWR Cartwright (AUS),2,2,0,2,1,1,23,8.69,0,0,0,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
UT Yadav (INDIA),1,1,1,2,2*,-,2,100,0,0,0,0,0,28-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
MK Pandey (INDIA),3,1,0,2,2,2,15,13.33,0,0,0,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),6,2,2,2,2*,-,4,50,0,0,0,0,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
Mohammed Shami (INDIA),5,1,1,1,1*,-,1,100,0,0,0,0,0,6-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
MG Johnson (AUS),1,1,0,1,1,1,7,14.28,0,0,0,0,0,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,,
GJ Maxwell (AUS),1,1,0,1,1,1,3,33.33,0,0,0,0,0,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,,
GJ Bailey (AUS),1,1,0,1,1,1,7,14.28,0,0,0,0,0,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
MA Starc (AUS),4,1,0,1,1,1,4,25,0,0,0,0,0,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
R Ashwin (INDIA),2,1,0,1,1,1,2,50,0,0,0,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
TM Head (AUS),1,1,0,1,1,1,2,50,0,0,0,0,0,13-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
SE Marsh (AUS),1,1,0,1,1,1,8,12.5,0,0,0,0,0,28-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
JM Mennie (AUS),2,2,0,1,1,0.5,4,25,0,0,1,0,0,2-Oct-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
J Yadav (INDIA),1,1,1,1,1*,-,1,100,0,0,0,0,0,29-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
