Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
MA Starc (AUS),7,7,54.5,2,177,20,28-Jun,8.85,3.22,16.4,1,1,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),6,6,51,1,236,17,23-Apr,13.88,4.62,18,2,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
UT Yadav (INDIA),6,6,48.2,5,237,16,Apr-31,14.81,4.9,18.1,2,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
YS Chahal (INDIA),6,6,52.1,1,262,16,22-May,16.37,5.02,19.5,1,1,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
A Mishra (INDIA),5,5,44.5,2,215,15,18-May,14.33,4.79,17.9,0,1,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
JJ Bumrah (INDIA),5,5,43.2,4,169,15,27-May,11.26,3.9,17.3,1,1,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,
MG Johnson (AUS),7,7,55.3,2,290,13,22-Apr,22.3,5.22,25.6,1,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
PJ Cummins (AUS),5,5,44,2,236,12,Apr-49,19.66,5.36,22,2,0,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
MA Starc (AUS),5,5,48.5,2,218,12,Mar-32,18.16,4.46,24.4,0,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
Mohammed Shami (INDIA),5,5,44,5,229,11,Mar-35,20.81,5.2,24,0,0,6-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
JR Hazlewood (AUS),7,6,51.2,7,221,11,May-50,20.09,4.3,28,0,1,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
JP Faulkner (AUS),6,6,41.5,2,197,10,Mar-36,19.7,4.7,25.1,0,0,4-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
JW Hastings (AUS),4,4,38,1,215,10,Apr-58,21.5,5.65,22.8,1,0,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
A Zampa (AUS),5,5,42.3,0,224,10,16-Mar,22.4,5.27,25.5,0,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
JP Faulkner (AUS),5,5,45.2,1,196,10,Apr-38,19.6,4.32,27.2,1,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
NM Coulter-Nile (AUS),5,5,49,0,251,10,Mar-44,25.1,5.12,29.4,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),6,6,58,2,237,10,Mar-45,23.7,4.08,34.8,0,0,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
R Ashwin (INDIA),6,6,59,3,248,9,25-Apr,27.55,4.2,39.3,1,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
MM Sharma (INDIA),6,6,47,4,248,9,Mar-48,27.55,5.27,31.3,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
I Sharma (INDIA),4,4,40,0,250,9,Apr-77,27.77,6.25,26.6,1,0,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,3,25.5,3,77,9,22-Apr,8.55,2.98,17.2,2,0,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
JW Hastings (AUS),3,3,27,2,116,9,Jun-45,12.88,4.29,18,0,1,28-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
A Zampa (AUS),5,5,41,0,187,9,Mar-38,20.77,4.56,27.3,0,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
MA Starc (AUS),4,4,34.1,2,163,9,Apr-42,18.11,4.77,22.7,1,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
JR Hazlewood (AUS),3,3,28,0,142,9,Jun-52,15.77,5.07,18.6,0,1,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),3,3,30,0,148,9,25-Jun,16.44,4.93,20,0,1,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),4,4,33.2,1,179,9,Mar-42,19.88,5.37,22.2,0,0,24-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,
YS Chahal (INDIA),5,5,41,0,219,9,Mar-41,24.33,5.34,27.3,0,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
Mohammed Shami (INDIA),4,4,29,2,138,9,19-Mar,15.33,4.75,19.3,0,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
MR Marsh (AUS),5,5,33,1,193,8,27-Apr,24.12,5.84,24.7,1,0,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
MA Starc (AUS),5,5,38,1,171,8,Mar-43,21.37,4.5,28.5,0,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
UT Yadav (INDIA),5,5,41,1,236,8,Mar-75,29.5,5.75,30.7,0,0,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
PJ Cummins (AUS),3,3,24.1,0,129,8,Apr-41,16.12,5.33,18.1,1,0,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),5,4,39,2,158,8,Mar-41,19.75,4.05,29.2,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
AJ Tye (AUS),4,4,36.3,0,169,8,May-46,21.12,4.63,27.3,0,1,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
JJ Bumrah (INDIA),6,6,42,2,167,8,24-Feb,20.87,3.97,31.5,0,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
JJ Bumrah (INDIA),4,4,34.5,4,128,8,Mar-37,16,3.67,26.1,0,0,19-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
MP Stoinis (AUS),3,3,21.2,1,121,8,16-Mar,15.12,5.67,16,0,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
B Kumar (INDIA),3,3,28,1,139,8,Apr-45,17.37,4.96,21,1,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),4,4,29,1,125,8,Apr-39,15.62,4.31,21.7,2,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
JR Hazlewood (AUS),4,4,36,5,131,7,Apr-35,18.71,3.63,30.8,1,0,4-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
RA Jadeja (INDIA),6,6,48.2,0,264,7,23-Feb,37.71,5.46,41.4,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
B Kumar (INDIA),5,5,48.4,1,347,7,Mar-41,49.57,7.13,41.7,0,0,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
UT Yadav (INDIA),5,5,47.5,1,345,7,Mar-67,49.28,7.21,41,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
JR Hazlewood (AUS),3,3,30,1,174,7,Mar-61,24.85,5.8,25.7,0,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
MR Marsh (AUS),3,3,19,0,99,7,Mar-34,14.14,5.21,16.2,0,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
CP Tremain (AUS),4,4,40,0,255,7,Mar-64,36.42,6.37,34.2,0,0,2-Oct-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
PJ Cummins (AUS),5,5,46.4,2,228,7,Mar-33,32.57,4.88,40,0,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
JP Faulkner (AUS),4,4,35,1,189,7,Apr-32,27,5.4,30,1,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
JR Hazlewood (AUS),4,4,38.5,2,192,7,Mar-32,27.42,4.94,33.2,0,0,15-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
B Kumar (INDIA),5,5,42.3,4,197,7,23-Feb,28.14,4.63,36.4,0,0,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
UT Yadav (INDIA),5,4,33,2,157,7,Mar-36,22.42,4.75,28.2,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),4,4,34,2,210,7,Mar-54,30,6.17,29.1,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
KW Richardson (AUS),3,3,28.5,0,158,7,Mar-55,22.57,5.47,24.7,0,0,21-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
PJ Cummins (AUS),3,3,30,3,154,7,24-Apr,22,5.13,25.7,1,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
MA Starc (AUS),4,4,39,0,256,7,Apr-59,36.57,6.56,33.4,1,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
RA Jadeja (INDIA),4,4,35,1,156,7,29-Apr,22.28,4.45,30,1,0,21-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
KK Ahmed (INDIA),4,4,32,1,171,7,13-Mar,24.42,5.34,27.4,0,0,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,
RA Jadeja (INDIA),4,4,39.5,2,188,7,Apr-34,26.85,4.71,34.1,1,0,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,
B Kumar (INDIA),5,5,34.1,3,171,7,25-Feb,24.42,5,29.2,0,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
GJ Maxwell (AUS),7,7,34,1,185,6,Feb-43,30.83,5.44,34,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
MA Starc (AUS),1,1,9,0,28,6,28-Jun,4.66,3.11,9,0,1,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
R Ashwin (INDIA),3,3,30,3,118,6,Mar-51,19.66,3.93,30,0,0,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
STR Binny (INDIA),3,3,27,1,151,6,Mar-55,25.16,5.59,27,0,0,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
GJ Maxwell (AUS),5,4,36,0,183,6,Feb-44,30.5,5.08,36,0,0,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
Harbhajan Singh (INDIA),4,4,40,0,212,6,Feb-50,35.33,5.3,40,0,0,14-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
KW Richardson (AUS),3,3,28,2,177,6,May-68,29.5,6.32,28,0,1,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
YS Chahal (INDIA),3,3,24,3,77,6,25-Mar,12.83,3.2,24,0,0,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
JJ Bumrah (INDIA),4,4,32.4,1,132,6,Mar-35,22,4.04,32.6,0,0,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
