Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
TM Head (AUS),3,2,14,0,68,2,Feb-37,34,4.85,42,0,0,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
MR Marsh (AUS),3,2,11.2,1,64,2,Feb-38,32,5.64,34,0,0,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
A Zampa (AUS),1,1,10,0,66,2,Feb-66,33,6.6,30,0,0,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
PJ Cummins (AUS),3,3,25,2,144,2,22-Jan,72,5.76,75,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
JW Hastings (AUS),1,1,9,0,69,2,Feb-69,34.5,7.66,27,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
A Zampa (AUS),2,2,12.2,1,65,2,13-Feb,32.5,5.27,37,0,0,5-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
KM Jadhav (INDIA),5,2,4.1,0,13,2,Jan-00,6.5,3.12,12.5,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
B Kumar (INDIA),3,2,10,1,28,2,9-Feb,14,2.8,30,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
AC Agar (AUS),2,2,19,0,125,2,Jan-54,62.5,6.57,57,0,0,21-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
KM Jadhav (INDIA),5,2,17,0,86,2,Jan-38,43,5.05,51,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
MP Stoinis (AUS),5,5,35.5,0,215,2,Feb-54,107.5,6,107.5,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,19,0,116,2,23-Jan,58,6.1,57,0,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,
JA Richardson (AUS),1,1,10,1,57,2,Feb-57,28.5,5.7,30,0,0,19-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
MP Stoinis (AUS),5,4,21.2,0,134,2,Jan-33,67,6.28,64,0,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
A Zampa (AUS),4,4,36,0,215,2,Jan-46,107.5,5.97,108,0,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
B Kumar (INDIA),5,5,33,2,201,2,19-Jan,100.5,6.09,99,0,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
MG Neser (AUS),2,2,16.4,1,120,2,Feb-46,60,7.2,50,0,0,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
YS Chahal (INDIA),3,3,30,0,135,2,Jan-43,67.5,4.5,90,0,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
RA Jadeja (INDIA),3,3,29,1,150,2,Jan-48,75,5.17,87,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
