Team,Score,Overs,RPO,Opp,Ground,Date,Inns,Result
India,383/6,50.0,7.66,Australia,Bengaluru,2013-11-02,1.0,won
India,362/1,43.3,8.32,Australia,Jaipur,2013-10-16,2.0,won
India,354/7,50.0,7.08,Australia,Nagpur,2009-10-28,1.0,won
India,351/4,49.3,7.09,Australia,Nagpur,2013-10-30,2.0,won
India,347,49.4,6.98,Australia,Hyderabad (Deccan),2009-11-05,2.0,lost
India,315,49.5,6.32,Australia,Bengaluru,2001-03-25,1.0,won
India,313/8,50.0,6.26,Australia,Bengaluru,2017-09-28,2.0,lost
India,309/5,50.0,6.18,Australia,Kochi,1998-04-01,1.0,won
India,303/9,50.0,6.06,Australia,Mohali,2013-10-19,1.0,lost
India,299/8,50.0,5.98,Australia,Indore,2001-03-31,1.0,won
India,299/7,50.0,5.98,Australia,Nagpur,2007-10-14,2.0,lost
India,294/5,47.5,6.14,Australia,Indore,2017-09-24,2.0,won
India,292/5,48.5,5.97,Australia,Visakhapatnam,2010-10-20,2.0,won
India,291/4,50.0,5.82,Australia,Chandigarh,2007-10-08,1.0,won
India,289/6,50.0,5.78,Australia,Delhi,1987-10-22,1.0,won
India,289/6,50.0,5.78,Australia,Mohali,1996-11-03,1.0,won
India,288/8,50.0,5.76,Australia,Vadodara,2009-10-25,2.0,lost
India,286/8,50.0,5.72,Australia,Bengaluru,2003-11-12,2.0,lost
India,283/5,50.0,5.66,Australia,Gwalior,2003-10-26,1.0,won
India,281/7,50.0,5.62,Australia,Chennai,2017-09-17,1.0,won
India,269,49.5,5.39,Australia,Chennai,1987-10-09,2.0,lost
India,265/6,50.0,5.3,Australia,Margao,2001-04-06,1.0,lost
India,261/5,47.4,5.47,Australia,Ahmedabad,2011-03-24,2.0,won
India,260/6,48.0,5.41,Australia,Rajkot,1986-10-07,1.0,lost
India,252,50.0,5.04,Australia,Kolkata,2017-09-21,1.0,won
India,251/3,41.0,6.12,Australia,Jaipur,1986-09-07,2.0,won
India,249/7,47.1,5.27,Australia,Bengaluru,1989-10-27,2.0,won
India,249/8,50.0,4.98,Australia,Mohali,2006-10-29,1.0,lost
India,248/9,50.0,4.96,Australia,Pune,2001-03-28,1.0,lost
India,245,45.0,5.44,Australia,Visakhapatnam,2001-04-03,2.0,lost
India,243,47.4,5.09,Australia,Hyderabad (Deccan),2007-10-05,2.0,lost
India,243/3,42.5,5.67,Australia,Nagpur,2017-10-01,2.0,won
India,242/7,43.3,5.56,Australia,Delhi,1986-10-02,2.0,won
India,242,48.0,5.04,Australia,Mumbai,1996-02-27,2.0,lost
India,235/5,44.0,5.34,Australia,Indore,1984-10-06,1.0,lost
India,232,49.4,4.67,Australia,Pune,2013-10-13,2.0,lost
India,230/4,48.2,4.75,Australia,Delhi,2009-10-31,2.0,won
India,227,49.3,4.58,Australia,Delhi,1998-04-14,1.0,lost
India,226,46.4,4.84,Australia,Mohali,2009-11-02,2.0,lost
India,223/4,44.3,5.01,Australia,Kanpur,1998-04-07,2.0,won
India,222/8,47.0,4.72,Australia,Srinagar,1986-09-09,1.0,lost
India,222,47.3,4.67,Australia,Kochi,2007-10-02,2.0,lost
India,216/8,48.5,4.42,Australia,Bengaluru,1996-10-21,2.0,won
India,209,46.2,4.51,Australia,Mumbai,2003-11-01,2.0,lost
India,206/6,46.0,4.47,Australia,Ahmedabad,1984-10-05,1.0,lost
India,198,41.5,4.73,Australia,Kolkata,2003-11-18,2.0,lost
India,195/8,46.0,4.23,Australia,Mumbai,2007-10-17,2.0,won
India,193,47.4,4.04,Australia,Ahmedabad,1986-10-05,1.0,won
India,175,37.0,4.72,Australia,Thiruvananthapuram,1984-10-01,1.0,n/r
India,172,40.5,4.21,Australia,New Delhi,1984-09-28,2.0,lost
India,170,48.0,3.54,Australia,Guwahati,2009-11-08,1.0,lost
India,148,39.4,3.73,Australia,Vadodara,2007-10-11,1.0,lost
India,41/1,10.4,3.84,Australia,Hyderabad (Deccan),1986-09-24,2.0,n/r
India,27/0,4.1,6.48,Australia,Ranchi,2013-10-23,2.0,n/r
India,21/2,5.1,4.06,Australia,Jamshedpur,1984-10-03,1.0,n/r
India,9/1,2.4,3.37,Australia,Bengaluru,2007-09-29,2.0,n/r
Australia,359/5,50.0,7.18,India,Jaipur,2013-10-16,1,lost
Australia,350/4,50.0,7.0,India,Hyderabad (Deccan),2009-11-05,1,won
Australia,350/6,50.0,7.0,India,Nagpur,2013-10-30,1,lost
Australia,347/2,50.0,6.94,India,Bengaluru,2003-11-12,1,won
Australia,338/4,50.0,6.76,India,Visakhapatnam,2001-04-03,1,won
Australia,334/5,50.0,6.68,India,Bengaluru,2017-09-28,1,won
Australia,326,45.1,7.21,India,Bengaluru,2013-11-02,2,lost
Australia,317/8,50.0,6.34,India,Nagpur,2007-10-14,1,won
Australia,307/7,50.0,6.14,India,Bengaluru,2007-09-29,1,n/r
Australia,306/6,50.0,6.12,India,Kochi,2007-10-02,1,won
Australia,304/8,50.0,6.08,India,Pune,2013-10-13,1,won
Australia,304/6,49.3,6.14,India,Mohali,2013-10-19,2,won
Australia,295/8,50.0,5.9,India,Ranchi,2013-10-23,1,n/r
Australia,293/6,50.0,5.86,India,Indore,2017-09-24,1,lost
Australia,292/8,50.0,5.84,India,Vadodara,2009-10-25,1,won
Australia,290/7,50.0,5.8,India,Hyderabad (Deccan),2007-10-05,1,won
Australia,289/3,50.0,5.78,India,Visakhapatnam,2010-10-20,1,lost
Australia,286/8,50.0,5.72,India,Mumbai,2003-11-01,1,won
Australia,284,49.1,5.77,India,Mohali,1996-11-03,2,lost
Australia,283/7,50.0,5.66,India,Chandigarh,2007-10-08,2,lost
Australia,270/6,50.0,5.4,India,Chennai,1987-10-09,1,won
Australia,269/6,48.0,5.6,India,Margao,2001-04-06,2,won
Australia,268,45.5,5.84,India,Kochi,1998-04-01,2,lost
Australia,263/3,46.3,5.65,India,Rajkot,1986-10-07,2,won
Australia,260/6,50.0,5.2,India,Ahmedabad,2011-03-24,1,lost
Australia,258,50.0,5.16,India,Mumbai,1996-02-27,1,won
Australia,255,43.3,5.86,India,Bengaluru,2001-03-25,2,lost
Australia,255,48.3,5.25,India,Nagpur,2009-10-28,2,lost
Australia,252/4,45.4,5.51,India,Mohali,2006-10-29,2,won
Australia,250/3,47.0,5.31,India,Jaipur,1986-09-07,1,lost
Australia,250,49.2,5.06,India,Mohali,2009-11-02,1,won
Australia,249/2,45.1,5.51,India,Pune,2001-03-28,2,won
Australia,247/8,50.0,4.94,India,Bengaluru,1989-10-27,1,lost
Australia,246/9,50.0,4.92,India,Gwalior,2003-10-26,2,lost
Australia,242/6,47.0,5.14,India,Hyderabad (Deccan),1986-09-24,1,n/r
Australia,242/9,50.0,4.84,India,Nagpur,2017-10-01,1,lost
Australia,238/6,45.0,5.28,India,Delhi,1986-10-02,1,lost
Australia,236/4,40.1,5.87,India,Indore,1984-10-06,2,won
Australia,235/5,50.0,4.7,India,Kolkata,2003-11-18,1,won
Australia,233,49.0,4.75,India,Delhi,1987-10-22,2,lost
Australia,231/6,48.4,4.74,India,Delhi,1998-04-14,2,won
Australia,229/5,50.0,4.58,India,Delhi,2009-10-31,1,lost
Australia,226/7,46.0,4.91,India,Srinagar,1986-09-09,2,won
Australia,222/9,50.0,4.44,India,Kanpur,1998-04-07,1,lost
Australia,220/9,48.0,4.58,India,New Delhi,1984-09-28,1,won
Australia,215/7,50.0,4.3,India,Bengaluru,1996-10-21,1,lost
Australia,210/3,43.5,4.79,India,Ahmedabad,1984-10-05,2,won
Australia,202,43.1,4.67,India,Kolkata,2017-09-21,2,lost
Australia,193,41.3,4.65,India,Mumbai,2007-10-17,1,lost
Australia,181,35.5,5.05,India,Indore,2001-03-31,2,lost
Australia,172/4,41.5,4.11,India,Guwahati,2009-11-08,2,won
Australia,149/1,25.5,5.76,India,Vadodara,2007-10-11,2,won
Australia,141,43.3,3.24,India,Ahmedabad,1986-10-05,2,lost
Australia,137/9,21.0,6.52,India,Chennai,2017-09-17,2,lost
Australia,29/1,7.4,3.78,India,Thiruvananthapuram,1984-10-01,2,n/r
Australia,DNB,0.0,-,India,Jamshedpur,1984-10-03,0,n/r
